Release,RunType,Feature,TestCaseID,FunctionName
Arlo+,daily,Regression,ft_tacacs_remove_highpriority_server,test_ft_tacacs_ssh_login_highest_priorityserver
Arlo+,daily,Regression,ft_tacacsauth_enable_pamfile_created,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,daily,Regression,ft_port_config_mtu,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_port_save_reload,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_port_fn_config_checking,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_port_check,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_vlan_based_arp_entry_link_failure,test_ft_arp_entry_link_failure
Arlo+,daily,Regression,ft_ip_address_check_pc,test_ft_ping__v4_v6_after_ip_change_pc
Arlo+,daily,Regression,ft_mirror_action_encapsulation,test_ft_erspan_action_encapsulation
Arlo+,daily,Regression,FtOpSoSySnFn008,test_ft_snmp_mib_2
Arlo+,daily,Regression,FtOpSoSySnFn009,test_ft_snmp_if_mib_all
Arlo+,daily,Regression,FtOpSoSySnFn010,test_ft_snmp_entity_mib_all
Arlo+,daily,Regression,FtOpSoSySnFn011,test_ft_snmp_entity_sensor_mib
Arlo+,daily,Regression,FtOpSoSySnFn012,test_ft_snmp_dot1q_dot1db_mib
Arlo+,daily,Regression,FtOpSoSySnFn013,test_ft_snmp_dot1q_dot1db_mib
Arlo+,daily,Regression,FtOpSoSySnFn015,test_ft_snmp_root_node_walk
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_ip_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_ip_protocol_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_port_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_port_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_port_range_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_ip_dst_port_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_port_dst_port_range_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_tcpflags_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_ip_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_ip_fwd_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_ip_src_port_fwd_port_channel,test_ft_acl_port_channel_V4_ingress
