StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
svcstr-n3164-acs-1,Ethernet1/58,svcstr-7260cx3-acs-1,Ethernet58/1,40000,258,Access
svcstr-n3164-acs-1,Ethernet1/59,svcstr-7260cx3-acs-1,Ethernet59/1,40000,259,Access
svcstr-n3164-acs-1,Ethernet1/60,svcstr-7260cx3-acs-1,Ethernet60/1,40000,260,Access
svcstr-n3164-acs-1,Ethernet1/61,svcstr-7260cx3-acs-2,Ethernet1/1,40000,261,Access
svcstr-n3164-acs-1,Ethernet1/62,svcstr-7260cx3-acs-2,Ethernet2/1,40000,262,Access
svcstr-n3164-acs-1,Ethernet1/63,svcstr-7260cx3-acs-2,Ethernet3/1,40000,263,Access
svcstr-n3164-acs-1,Ethernet1/64,svcstr-7260cx3-acs-2,Ethernet4/1,40000,264,Access
svcstr-n3164-acs-2,Ethernet1/1,svcstr-7260cx3-acs-2,Ethernet5/1,40000,265,Access
svcstr-n3164-acs-2,Ethernet1/2,svcstr-7260cx3-acs-2,Ethernet6/1,40000,266,Access
svcstr-n3164-acs-2,Ethernet1/3,svcstr-7260cx3-acs-2,Ethernet7/1,40000,267,Access
svcstr-n3164-acs-2,Ethernet1/4,svcstr-7260cx3-acs-2,Ethernet8/1,40000,268,Access
svcstr-n3164-acs-2,Ethernet1/5,svcstr-7260cx3-acs-2,Ethernet9/1,40000,269,Access
svcstr-n3164-acs-2,Ethernet1/6,svcstr-7260cx3-acs-2,Ethernet10/1,40000,270,Access
svcstr-n3164-acs-2,Ethernet1/7,svcstr-7260cx3-acs-2,Ethernet11/1,40000,271,Access
svcstr-n3164-acs-2,Ethernet1/8,svcstr-7260cx3-acs-2,Ethernet12/1,40000,272,Access
svcstr-n3164-acs-2,Ethernet1/9,svcstr-7260cx3-acs-2,Ethernet13/1,40000,273,Access
svcstr-n3164-acs-2,Ethernet1/10,svcstr-7260cx3-acs-2,Ethernet14/1,40000,274,Access
svcstr-n3164-acs-2,Ethernet1/11,svcstr-7260cx3-acs-2,Ethernet15/1,40000,275,Access
svcstr-n3164-acs-2,Ethernet1/12,svcstr-7260cx3-acs-2,Ethernet16/1,40000,276,Access
svcstr-n3164-acs-2,Ethernet1/13,svcstr-7260cx3-acs-2,Ethernet17/1,40000,277,Access
svcstr-n3164-acs-2,Ethernet1/14,svcstr-7260cx3-acs-2,Ethernet18/1,40000,278,Access
svcstr-n3164-acs-2,Ethernet1/15,svcstr-7260cx3-acs-2,Ethernet19/1,40000,279,Access
svcstr-n3164-acs-2,Ethernet1/16,svcstr-7260cx3-acs-2,Ethernet20/1,40000,280,Access
svcstr-n3164-acs-2,Ethernet1/17,svcstr-7260cx3-acs-2,Ethernet21/1,40000,281,Access
svcstr-n3164-acs-2,Ethernet1/18,svcstr-7260cx3-acs-2,Ethernet22/1,40000,282,Access
svcstr-n3164-acs-2,Ethernet1/19,svcstr-7260cx3-acs-2,Ethernet23/1,40000,283,Access
svcstr-n3164-acs-2,Ethernet1/20,svcstr-7260cx3-acs-2,Ethernet24/1,40000,284,Access
svcstr-n3164-acs-2,Ethernet1/21,svcstr-7260cx3-acs-2,Ethernet25/1,40000,285,Access
svcstr-n3164-acs-2,Ethernet1/22,svcstr-7260cx3-acs-2,Ethernet26/1,40000,286,Access
svcstr-n3164-acs-2,Ethernet1/23,svcstr-7260cx3-acs-2,Ethernet27/1,40000,287,Access
svcstr-n3164-acs-2,Ethernet1/24,svcstr-7260cx3-acs-2,Ethernet28/1,40000,288,Access
svcstr-n3164-acs-2,Ethernet1/25,svcstr-7260cx3-acs-2,Ethernet29/1,40000,289,Access
svcstr-n3164-acs-2,Ethernet1/26,svcstr-7260cx3-acs-2,Ethernet30/1,40000,290,Access
svcstr-n3164-acs-2,Ethernet1/27,svcstr-7260cx3-acs-2,Ethernet31/1,40000,291,Access
svcstr-n3164-acs-2,Ethernet1/28,svcstr-7260cx3-acs-2,Ethernet32/1,40000,292,Access
