Hostname,ManagementIp,HwSku,Type,Protocol
nokia-sup-chassis1,152.148.151.224/21,Nokia-IXR7250E-SUP-10-r0,DevSonic,
ixre-cpm-chassis12,152.148.151.226/21,Nokia-IXR7250E-SUP-10,DevSonic,
ixre-cpm-chassis13,152.148.150.94/21,Nokia-IXR7250E-SUP-10,DevSonic,
ixre-cpm-chassis14,152.148.151.189/21,Nokia-IXR7250E-SUP-10,DevSonic,
ixre-cpm-chassis15,152.148.151.199/21,Nokia-IXR7250E-SUP-10,DevSonic,

# cpms
ixr-cpm2-chassis1,152.148.151.193/23,Nokia-IXR7250-SUP-6,DevSonic,
ixr-cpm2-chassis2,152.148.150.49/24,Nokia-IXR7250-SUP-6,DevSonic,
ixr-cpm2-chassis3,152.148.150.26/24,Nokia-IXR7250-SUP-10,DevSonic,
ixr-cpm2-chassis4,152.148.150.47/24,Nokia-IXR7250-SUP-10,DevSonic,
ixr-cpm2-chassis5,152.148.151.189/24,Nokia-IXR7250-SUP-10,DevSonic,
ixr-cpm2-chassis6,152.148.151.166/24,Nokia-IXR7250-SUP-6,DevSonic,

# minion
minion_chassis_imm1,172.17.0.200/24,Nokia-IXR7250-36x400G,DevSonic,
minion_chassis_imm2,172.17.0.201/24,Nokia-IXR7250-36x400G,DevSonic,
minion_chassis_cpm,172.17.0.202/24,Nokia-IXR7250-36x400G,DevSonic,
minion_linecard,172.17.0.100/24,Nokia-IXR7250-36x400G,DevSonic,
VM0100,10.250.0.51/24,Force10-S6000,DevSonic,
VM0101,10.250.0.52/24,Force10-S6000,DevSonic,

# consoles
console-1,152.148.150.78,Sonic,ConsoleServer,
console-2,152.148.150.16,Sonic,ConsoleServer,
