StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
bjw3-can-7050-9,Ethernet27/1,bjw3-can-7050-leaf-1,Ethernet27/1,10000,106,Access,off
bjw3-can-7050-9,Ethernet27/2,bjw3-can-7050-leaf-1,Ethernet27/2,10000,107,Access,off
bjw3-can-7050-9,Ethernet27/3,bjw3-can-7050-leaf-1,Ethernet27/3,10000,108,Access,off
bjw3-can-7050-9,Ethernet27/4,bjw3-can-7050-leaf-1,Ethernet27/4,10000,109,Access,off
bjw3-can-7050-9,Ethernet28/1,bjw3-can-7050-leaf-1,Ethernet28/1,10000,110,Access,off
bjw3-can-7050-9,Ethernet28/2,bjw3-can-7050-leaf-1,Ethernet28/2,10000,111,Access,off
bjw3-can-7050-9,Ethernet28/3,bjw3-can-7050-leaf-1,Ethernet28/3,10000,112,Access,off
bjw3-can-7050-9,Ethernet28/4,bjw3-can-7050-leaf-1,Ethernet28/4,10000,113,Access,off
bjw3-can-7050-9,Ethernet29/1,bjw3-can-7050-leaf-1,Ethernet29/1,10000,114,Access,off
bjw3-can-7050-9,Ethernet29/2,bjw3-can-7050-leaf-1,Ethernet29/2,10000,115,Access,off
bjw3-can-7050-9,Ethernet29/3,bjw3-can-7050-leaf-1,Ethernet29/3,10000,116,Access,off
bjw3-can-7050-9,Ethernet29/4,bjw3-can-7050-leaf-1,Ethernet29/4,10000,117,Access,off
bjw3-can-7050-9,Ethernet30/1,bjw3-can-7050-leaf-1,Ethernet30/1,10000,118,Access,off
bjw3-can-7050-9,Ethernet30/2,bjw3-can-7050-leaf-1,Ethernet30/2,10000,119,Access,off
bjw3-can-7050-9,Ethernet30/3,bjw3-can-7050-leaf-1,Ethernet30/3,10000,120,Access,off
bjw3-can-7050-9,Ethernet30/4,bjw3-can-7050-leaf-1,Ethernet30/4,10000,121,Access,off
bjw3-can-7050-9,Ethernet31/1,bjw3-can-7050-leaf-1,Ethernet31/1,10000,122,Access,off
