Vendor	pipeline_name	TESTBED_NAME	Sun-0	Mon-1	Tue-2	Wed-3	Thu-4	Fri-5	Sat-6	TESTBED_SPECIFIC	Coverage	cron	NIGHTLY_TEST_TIMEOUT	SKIP_SCRIPTS	AGENT_POOL	CROSS_BRANCH_BASE_URL	TEST_IN_BRANCH_UPGRADE	ALWAYS_POWER_CYCLE_DUTS	ENABLE_DATAACL	SKIP_TEST_RESULTS_UPLOADING	PREV_IMAGE_URL	
Dell	vms7-t0-s6100	vms7-t0-s6100	202012	202012	202012		202012			-S "platform_tests generic_config_updater"'	Platform	0 4		"platform_tests/test_reboot.py::test_watchdog_reboot"		IMAGE_BRCM_201811	TRUE					
Dell	vms7-t0-s6100	vms7-t0-s6100				internal		master		-S "platform_tests generic_config_updater"'	Platform	0 4		"platform_tests/test_reboot.py::test_watchdog_reboot"								
Dell	vms7-t0-s6100-4	vms7-t0-s6100-4	202012		202012		202012			-I "platform_tests generic_config_updater metadata-scripts"'	Non-platform	0 12				IMAGE_BRCM_201811	TRUE					
Dell	vms7-t0-s6100-4	vms7-t0-s6100-4		internal		internal		master		-I "platform_tests generic_config_updater"'	Non-platform	0 12										
Dell	vms7-t1-s6100-platform	vms7-t1-s6100		202205			202205			-I "platform_tests generic_config_updater"'	Non-platform	0 4										
Dell	vms7-t1-s6100-non-platform	vms7-t1-s6100	202205		202205	internal		master		-S "pfc_asym span sub_port_interfaces platform_tests generic_config_updater"'	Non-platform	0 4										
Dell	vms11-t0-on-4-s6000	vms11-t0-on-4	202012		202012		202012			-S "sub_port_interfaces platform_tests metadata-scripts"'	Non-platform	0 4							FALSE	FALSE		
Dell	vms11-t0-on-4-s6000	vms11-t0-on-4		internal		internal		internal		-S "sub_port_interfaces platform_tests generic_config_updater metadata-scripts"'	Non-platform	0 4								FALSE		
Dell	vms13-4-t0-s6000	vms13-4-t0	202012	internal	202012	internal	202012	internal		-I "platform_tests generic_config_updater"'	Platform	0 20								FALSE		
Dell	vms13-5-t1-s6000	vms13-5-t1-lag	202012		202012		202012			-I "platform_tests generic_config_updater"'	Platform	0 20								FALSE		
Dell	vms13-5-t1-s6000	vms13-5-t1-lag		internal		internal		internal		-S "sub_port_interfaces platform_tests generic_config_updater metadata-scripts"'	Platform	0 20								FALSE		
